It: 154000, Loss: 4.250e-03, l1: 0.958, l2: 0.01835, Time: 26.34
It: 155000, Loss: 4.428e-03, l1: 0.958, l2: 0.01834, Time: 26.43
It: 156000, Loss: 4.428e-03, l1: 0.959, l2: 0.01835, Time: 26.39
It: 157000, Loss: 4.235e-03, l1: 0.959, l2: 0.01834, Time: 26.35
It: 158000, Loss: 4.340e-03, l1: 0.959, l2: 0.01839, Time: 26.42
It: 159000, Loss: 4.249e-03, l1: 0.959, l2: 0.01833, Time: 26.50
It: 160000, Loss: 4.275e-03, l1: 0.959, l2: 0.01841, Time: 26.38
Model saved to models/Re100wcplong/Re100wcplong_160000.npz
It: 161000, Loss: 4.135e-03, l1: 0.959, l2: 0.01834, Time: 26.45
It: 162000, Loss: 4.240e-03, l1: 0.960, l2: 0.01837, Time: 26.42
It: 163000, Loss: 4.340e-03, l1: 0.959, l2: 0.01834, Time: 26.43
It: 164000, Loss: 4.191e-03, l1: 0.960, l2: 0.01837, Time: 26.55
It: 165000, Loss: 4.204e-03, l1: 0.960, l2: 0.01833, Time: 26.54
It: 166000, Loss: 4.258e-03, l1: 0.960, l2: 0.01828, Time: 26.41
It: 167000, Loss: 4.285e-03, l1: 0.960, l2: 0.01831, Time: 26.42
It: 168000, Loss: 4.183e-03, l1: 0.960, l2: 0.01827, Time: 26.47
It: 169000, Loss: 4.015e-03, l1: 0.961, l2: 0.01829, Time: 26.57
It: 170000, Loss: 4.085e-03, l1: 0.961, l2: 0.01831, Time: 26.57
Model saved to models/Re100wcplong/Re100wcplong_170000.npz
It: 171000, Loss: 4.495e-03, l1: 0.961, l2: 0.01821, Time: 26.59
It: 172000, Loss: 4.267e-03, l1: 0.961, l2: 0.01827, Time: 26.59
It: 173000, Loss: 3.988e-03, l1: 0.961, l2: 0.01827, Time: 26.69
It: 174000, Loss: 4.323e-03, l1: 0.961, l2: 0.01819, Time: 26.52
It: 175000, Loss: 4.266e-03, l1: 0.962, l2: 0.01829, Time: 26.43
It: 176000, Loss: 4.164e-03, l1: 0.961, l2: 0.01823, Time: 26.42
It: 177000, Loss: 4.008e-03, l1: 0.962, l2: 0.01821, Time: 26.41
It: 178000, Loss: 4.161e-03, l1: 0.961, l2: 0.01823, Time: 26.39
It: 179000, Loss: 4.238e-03, l1: 0.962, l2: 0.01825, Time: 26.52
It: 180000, Loss: 4.246e-03, l1: 0.962, l2: 0.01820, Time: 26.49
Model saved to models/Re100wcplong/Re100wcplong_180000.npz
It: 181000, Loss: 3.965e-03, l1: 0.962, l2: 0.01822, Time: 26.38
It: 182000, Loss: 4.022e-03, l1: 0.962, l2: 0.01824, Time: 26.48
It: 183000, Loss: 3.982e-03, l1: 0.962, l2: 0.01820, Time: 26.55
It: 184000, Loss: 4.049e-03, l1: 0.962, l2: 0.01817, Time: 26.53
It: 185000, Loss: 4.090e-03, l1: 0.963, l2: 0.01815, Time: 26.55
It: 186000, Loss: 3.872e-03, l1: 0.963, l2: 0.01814, Time: 26.60
It: 187000, Loss: 3.848e-03, l1: 0.963, l2: 0.01820, Time: 26.48
It: 188000, Loss: 3.838e-03, l1: 0.963, l2: 0.01816, Time: 26.30
It: 189000, Loss: 3.939e-03, l1: 0.962, l2: 0.01811, Time: 26.33
It: 190000, Loss: 3.988e-03, l1: 0.963, l2: 0.01812, Time: 26.54
Model saved to models/Re100wcplong/Re100wcplong_190000.npz
It: 191000, Loss: 3.833e-03, l1: 0.963, l2: 0.01812, Time: 26.58
It: 192000, Loss: 3.983e-03, l1: 0.963, l2: 0.01806, Time: 26.54
It: 193000, Loss: 3.781e-03, l1: 0.963, l2: 0.01809, Time: 26.53
It: 194000, Loss: 3.803e-03, l1: 0.964, l2: 0.01808, Time: 26.52
It: 195000, Loss: 3.891e-03, l1: 0.964, l2: 0.01806, Time: 26.65
It: 196000, Loss: 4.345e-03, l1: 0.964, l2: 0.01799, Time: 26.66
It: 197000, Loss: 3.693e-03, l1: 0.964, l2: 0.01807, Time: 26.65
